username,date,retweets,favorites,text,hashtags,sentiment
lesliep249,2017-07-13 23:22,0,0,@VirginAmerica the delays are real out of JFK - please don't ever do this to me again #virginamerica #jfkairport,#virginamerica #jfkairport,negative
rwkruger,2017-07-13 21:54,1,3,halfway through my flight in 1st class and I haven't even gotten a drink yet? row 1 has finished eating! what's wrong? #virginamerica pic.twitter.com/DXbtcE4dlM,#virginamerica,negative
lwsantiago,2017-07-13 20:17,0,5,How lucky am I!???? #crewlife #crewfie #virginamerica #iamalaska #sanfrancisco #sfo #reddress â¦ https://www. instagram.com/p/BWga4CpAFwW/,#crewlife #crewfie #virginamerica #iamalaska #sanfrancisco #sfo #reddress,positive
MrFunSize5_5,2017-07-13 18:13,0,0,LAX BOUND #VirginAmerica #MainCabinSelect @Orlandoâ¦ https://www. instagram.com/p/BWgMsAhAtgdU W5U-KL5e24HNBGc_qNshvxiSgs0/ â¦,#VirginAmerica #MainCabinSelect,neutral
PoochofNYC,2017-07-13 17:20,3,13,"""If you want a free #upgrade you gotta look and smell like first class."" #virginamerica #agadorable @VirginAmerica pic.twitter.com/yljosmonuQ â bei Los Angeles International Airport (LAX)",#upgrade #virginamerica #agadorable,positive
djalexreyes,2017-07-13 15:49,0,1,DJ Alex Reyes #djalexreyes wants to give a shoutout to @AlaskaAir #alaskaairlines / @VirginAmerica #virginamerica thx for the service pic.twitter.com/hcQx4rM3dI,#djalexreyes #alaskaairlines #virginamerica,positive
LifeNChopstix,2017-07-13 14:26,0,0,"Exploring the #virginamerica #clublevel in #attpark , #sanfrancisco . It feels like a #Museum !â¦ https://www. instagram.com/p/BWfyvjLjAGw/",#virginamerica #clublevel #attpark #sanfrancisco #Museum,positive
CASEDAFACE,2017-07-13 13:32,0,0,"Last Thursday I was real high #virginamerica #high #tbt @New York, New York https://www. instagram.com/p/BWfsfRXhjeR/",#virginamerica #high #tbt,positive
wanderplace,2017-07-13 13:25,0,0,"Ahhh, 1A, how I missed you... #virginamerica #doublebloodybeforetakeoff",#virginamerica #doublebloodybeforetakeoff,positive
seventwofive,2017-07-13 13:10,0,0,Ready to fly #sfo #virginamerica #evo2017 #sanfrancisco #qanba #aegis @San Franciscoâ¦ https://www. instagram.com/p/BWfp9BBBtHo/,#sfo #virginamerica #evo2017 #sanfrancisco #qanba #aegis,positive
DeathbedFood,2017-07-13 13:03,0,0,Re: @VirginAmerica #CustomerService : They called 1 day after my flight; empathetic! Now feel good about flying #VirginAmerica to NY next wk.,#CustomerService #VirginAmerica,positive
mizderi,2017-07-13 02:14,0,0,"@VirginAmerica + @Snap = best hot dog app, amirite @SiliconHBO #hotdog #nothotdog #bboymoves #virginamerica #snapchat #SnapchatHotdog pic.twitter.com/aWviHUAbjm",#hotdog #nothotdog #bboymoves #virginamerica #snapchat #SnapchatHotdog,neutral
DealsToAustin,2017-07-12 19:33,0,0,$129* -- Sale Ends Tonight: Austin to San Francisco (O/W) http:// bit.ly/2tKrpfx #aus #sfo #virginamerica,#aus #sfo #virginamerica,positive
dealstolasvegas,2017-07-12 19:32,0,0,$39* -- Sale Ends Tonight: Vegas to LA (One Way) http:// bit.ly/2vefN25 #las #lax #virginamerica,#las #lax #virginamerica,neutral
TheeBlog,2017-07-12 19:17,0,0,"@AlaskaAir Oh, and your bathrooms smell like public potties at a festival #MissVirginAir #alaskaair #virginamerica",#MissVirginAir #alaskaair #virginamerica,neutral
TheeBlog,2017-07-12 18:16,0,1,@AlaskaAir You keep saying you're adopting/becoming the new @VirginAmerica yet charge $8 to rent a tablet??? #alaskair #virginamerica #fail,#alaskair #virginamerica #fail,negative
DeathbedFood,2017-07-12 17:31,1,1,Maybe I'm grumpy because of bad @VirginAmerica #CustomerService but I'm hating the BLACK background color on Twitter! #virginamerica,#CustomerService #virginamerica,positive
eddieh__,2017-07-12 16:48,0,0,Ad blocker... #virginamerica #adblocker #ad #ads #advertising #spam pic.twitter.com/vfKumHazPP,#virginamerica #adblocker #ad #ads #advertising #spam,positive
DeathbedFood,2017-07-12 16:18,0,1,Curious why the flight staff on @VirginAmerica is so surly. Anyone else feel that? #virgin #virginamerica #travel #CustServ #CustomerService,#virgin #virginamerica #travel #CustServ #CustomerService,positive
lilyxiixvi,2017-07-12 15:46,0,2,I'm on cloud nine. #virginamerica https://www. instagram.com/p/BWdXGySFQtx/,#virginamerica,neutral
kirenemurk,2017-07-12 11:01,0,0,#virginamerica b/c you had the plane in remote parking at the time of our 8am departure we are now two hours late and caught in storms,#virginamerica,negative
eyewonit,2017-07-12 07:47,0,0,Fly #virginAmerica deals http://www. sheknows.com/living/article s/1135043/virgin-america-summer-sale â¦,#virginAmerica,neutral
ttravel_agency,2017-07-11 19:52,0,0,"#VirginAmerica , Alaska Airlines celebrate 'decade of awesome' with a day-long seat sale. Read more: http:// owler.us/ac1Fdn $ VA",#VirginAmerica,neutral
ttravel_agency,2017-07-11 19:51,0,0,"#VirginAmerica , Alaska Airlines celebrate 'decade of awesome' with a day-long seat sale. Read more: http:// owler.us/ac1Fdq $ VA",#VirginAmerica,neutral
ttravel_agency,2017-07-11 19:51,0,0,"#VirginAmerica , Alaska Airlines celebrate 'decade of awesome' with a day-long seat sale. Read more: http:// owler.us/ac1Fdo $ VA",#VirginAmerica,neutral
ttravel_agency,2017-07-11 19:50,0,0,"#VirginAmerica , Alaska Airlines celebrate 'decade of awesome' with a day-long seat sale. Read more: http:// owler.us/ac1Fdp $ VA",#VirginAmerica,neutral
Agent99XXX,2017-07-11 18:25,0,1,This Is the Best Airline In the U.S. http:// for.tn/2tAVXQO #VirginAmerica,#VirginAmerica,positive
TulipaPix,2017-07-11 17:14,0,0,Watching #legobatman in flight yay #virginamerica pic.twitter.com/diKltJ6mws,#legobatman #virginamerica,neutral
airmuleapp,2017-07-11 16:49,0,0,Congrats @VirginAmerica for winning best U.S airline in 2017! #VirginAmerica #BestAirline http:// buff.ly/2tEDDX6 pic.twitter.com/qyWUzi7pey,#VirginAmerica #BestAirline,positive
ETS201,2017-07-11 16:25,0,0,Not impressed w #virginamerica today,#virginamerica,positive
Aviationizer,2017-07-11 12:48,0,0,"#AlaskaAirlines and #VirginAmerica Launch ""Decade of Awesome"" Sale Today Only #TopDomesticAirline ... http:// aviation.trendolizer.com/2017/07/alaska -airlines-and-virgin-america-launch-decade-of-awesome-sale-today-only.html â¦",#AlaskaAirlines #VirginAmerica #TopDomesticAirline,positive
fattourist2017,2017-07-11 11:49,0,0,This Is the Best Airline In the U.S. http:// for.tn/2tAVXQO #travel #airline #virginamerica #virgin #usa #planes #awards,#travel #airline #virginamerica #virgin #usa #planes #awards,neutral
janus0000,2017-07-11 09:59,0,1,@VirginAmerica #VirginAmerica wants me to call #(877)3598474. That is the number of rude #VirginAmerica CSRs. Another example of poor CS.,#VirginAmerica # #VirginAmerica,negative
janus0000,2017-07-11 09:58,1,1,@VirginAmerica #VirginAmerica wants me to call #(877)3598474. That is the number of rude #VirginAmerica CSRs. Another example of poor CS.,#VirginAmerica # #VirginAmerica,negative
janus0000,2017-07-11 09:48,0,1,File a complaint with the same careless #VirginAmerica CSRs who caused the frustration? This is another example of poor CS.,#VirginAmerica,negative
Aguilar_NYY,2017-07-11 09:44,1,1,#TravelTuesday and I'm in a #daydream of flying #VirginAmerica to somewhere fun. pic.twitter.com/VKjelVgLEV,#TravelTuesday #daydream #VirginAmerica,positive
janus0000,2017-07-11 09:11,0,1,@VirginAmerica train your CSRs. Business travel arrangements should be treated with courtesy and seriousness. #undependable #VirginAmerica,#undependable #VirginAmerica,negative
janus0000,2017-07-11 09:07,0,1,Why? To get frustrated again by your #rude and #incosiderate #customerservice agents? #VirginAmerica needs to train CRS for courtesy.,#rude #incosiderate #customerservice #VirginAmerica,negative
DesthaPermadi,2017-07-10 23:10,0,1,#virginamerica #1yearoldvirgin #a319 #seatac #avgeek #aviationlife @Seattle-Tacomaâ¦ https://www. instagram.com/p/BWZAR7-F7h2/,#virginamerica #1yearoldvirgin #a319 #seatac #avgeek #aviationlife,positive
Continental1K,2017-07-10 21:44,0,1,Or @VirginAmerica (aka @AlaskaAir ). #VirginAmerica #SFO,#VirginAmerica #SFO,neutral
SumaNaras,2017-07-10 21:04,0,2,Nice going #virginamerica .. no pilots on plane yet and we should have left almost an hour ago. #sigh #almostthere â bei San Francisco International Airport (SFO),#virginamerica #sigh #almostthere,negative
particlesalad,2017-07-10 19:45,1,0,#dca #virginamerica the united flight next to us just went back to the gate.,#dca #virginamerica,positive
particlesalad,2017-07-10 19:35,0,2,#virginamerica #dca free wifi while we are waiting?,#virginamerica #dca,positive
DeJuanBrooks,2017-07-10 19:20,0,0,When your flight is delayed and you're #virginamerica #sanfranciscointernationalairport â¦ https://www. instagram.com/p/BWYl_ThlUG-/,#virginamerica #sanfranciscointernationalairport,neutral
jsatterthwaite,2017-07-10 19:08,0,4,"I'm trying to get to #JEAai but the universe is working against me. I'm thankful, at least, for the $15 food voucher from #virginamerica pic.twitter.com/2BW2Lc6BCs",#JEAai #virginamerica,positive
WAFLRACING,2017-07-10 15:22,0,0,Made my connection in LA. Last leg to LV. #virginamerica #lv #la #allworkandnoplay @LAX - Losâ¦ https://www. instagram.com/p/BWYKum0lf2O/,#virginamerica #lv #la #allworkandnoplay,positive
jeff_bloch,2017-07-10 14:48,0,1,Terrible response!! Shameful #virginamerica,#virginamerica,negative
jeff_bloch,2017-07-10 14:48,2,2,"If you have an unaccompanied minor that's flying, DON'T fly Virgin America. Shameful! #virginamerica",#virginamerica,positive
Aviationizer,2017-07-10 12:08,0,0,#AlaskaChangesAmericanPartnership - #JeffsetterTravel #AlaskaAirlines #VirginAmerica ... http:// aviation.trendolizer.com/2017/07/alaska -changes-american-partnership---jeffsetter-travel.html â¦ pic.twitter.com/yHPwIx2vhM,#AlaskaChangesAmericanPartnership #JeffsetterTravel #AlaskaAirlines #VirginAmerica,neutral
hollarmonica,2017-07-09 20:06,0,1,So corny and funny! But a pretty nice plane tho. #virginamerica #ballers #sfoairport â¦ https://www. instagram.com/p/BWWGYpTFYOe/,#virginamerica #ballers #sfoairport,positive
hollarmonica,2017-07-09 19:21,0,0,Chillin' before boarding #fakesmile #sfoairport #virginamerica #baller #pimpdaddy #chillin #savannahs21stbirthdayp â¦ http:// ift.tt/2uZUyku pic.twitter.com/Rl7dGU4Try,#fakesmile #sfoairport #virginamerica #baller #pimpdaddy #chillin #savannahs21stbirthdayp,neutral
hollarmonica,2017-07-09 19:21,0,0,Chillin' before boarding #fakesmile #sfoairport #virginamerica #baller #pimpdaddy #chillin â¦ https://www. instagram.com/p/BWWBQbXFfPb/,#fakesmile #sfoairport #virginamerica #baller #pimpdaddy #chillin,neutral
tjo4,2017-07-09 16:22,0,1,Morning light on Safady Voyager #N852VA #VirginAmerica #DallasLoveField #avgeek #igaviation â¦ https://www. instagram.com/p/BWVsvy0FswE/,#N852VA #VirginAmerica #DallasLoveField #avgeek #igaviation,neutral
devonschramm,2017-07-09 10:31,0,0,#LA Bound #virginamerica @Virgin America https://www. instagram.com/p/BWVEouwAre9/,#LA #virginamerica,neutral
djalexreyes,2017-07-09 01:19,0,0,@TSA @AskTSA I would like to request a PSS for my upcoming flight with @VirginAmerica #virginamerica plz help reply / follow @djalexreyes,#virginamerica,neutral
ianmsantos,2017-07-08 19:49,0,0,When your #WorkDaughter knows what's up. #VirginAmerica #VXFLL #VX #FLL @ygz_a_r @virginamerica https://www. instagram.com/p/BWTfrlNBKtD/,#WorkDaughter #VirginAmerica #VXFLL #VX #FLL,positive
BLAMM_O910,2017-07-08 14:34,0,0,"love me some #virginamerica . chat/cust service in under 60 seconds, in & out. #attaboy #kudos #traveling",#virginamerica #attaboy #kudos #traveling,positive
jeff_bloch,2017-07-08 10:44,0,0,I understand if a crew is late due to FAA regulations but showing up at the gate with Starbucks only adds insult to injury #Virginamerica,#Virginamerica,negative
jeff_bloch,2017-07-08 10:26,0,0,SECOND flight delayed after first canceled. Why the delay? The crew is late. #virginamerica #vx23 Terrible airline.,#virginamerica #vx23,negative
jeff_bloch,2017-07-08 10:25,0,0,Terrible experience with #Virginamerica . Flight last night canceled after 2 hours due to weather. Still handeled very poorly,#Virginamerica,negative
__AimeeLouise,2017-07-08 02:01,0,0,#VirginAmerica knows all the places you wanna be! @Migos,#VirginAmerica,positive
airfaredealsbtd,2017-07-07 21:23,1,0,$249* -- D.C. to San Francisco Nonstop (One Way) http:// bit.ly/2tSATWY #airfare #dca #sfo #virginamerica,#airfare #dca #sfo #virginamerica,positive
ENaylorEvents,2017-07-07 20:48,0,1,@VirginAmerica about to hop on for a lift to OGG ur staff has been g8 today #virginamerica #SFO #Maui #,#virginamerica #SFO #Maui #,positive
xMisloadx,2017-07-07 18:26,0,0,On flight entertainment #PacMan #VirginAmerica #Dallas #Texas @Dallas Love Field (DAL) https://www. instagram.com/p/BWQxWcmjYF3/,#PacMan #VirginAmerica #Dallas #Texas,positive
jizlee,2017-07-07 16:43,1,26,"Parable of the Talents, Octavia E. Butler. SFO JFK #booksonaplane #goodreads #amreading #virginamerica #octaviaebutler #parableofthetalents pic.twitter.com/7XXYNXABmr",#booksonaplane #goodreads #amreading #virginamerica #octaviaebutler #parableofthetalents,neutral
airfaredealsbtd,2017-07-07 07:33,1,1,$89* -- Denver to San Francisco Nonstop (One Way) http:// bit.ly/2tPw5S6 #airfare #den #sfo #virginamerica pic.twitter.com/waLGhE9uIG,#airfare #den #sfo #virginamerica,positive
kers10so,2017-07-07 02:18,0,1,#virginAmerica the guy at the tickting kept yelling trminl 6 over and over even when we were alrdy walking away all the way down the halll,#virginAmerica,positive
kers10so,2017-07-07 02:16,0,1,#virginAmerica I am a virgin America credit card holder and pre-paid my bag yet I still had to get in line and waited forever....,#virginAmerica,negative
kers10so,2017-07-07 02:01,0,1,"#virginAmerica it says terminal 3 when u google it. We got dropped off at 4, walked to 3, found out it was 6 so we walked more....",#virginAmerica,negative
kers10so,2017-07-07 02:01,0,1,#virginAmerica the service @the ticketing was slow and the guy was super sarcastic when we asked him to check what terminal it says on...,#virginAmerica,negative
kers10so,2017-07-07 01:57,0,1,#virginAmerica used to be amazing. What happened? You were our favorite!,#virginAmerica,neutral
brian_wilhelm,2017-07-07 01:21,0,1,Red Eye to Maryland #byeLA #husbandlife #virginamerica #virginmiles #redeemed #noworkforme â¦ https://www. instagram.com/p/BWO8DXjBxvy/,#byeLA #husbandlife #virginamerica #virginmiles #redeemed #noworkforme,neutral
mcordon99,2017-07-06 22:54,0,1,Leaving on a ... #sfo #virginamerica #alaskaairlines #destinationsomewhere @San Franciscoâ¦ https://www. instagram.com/p/BWOrUQ8gNxP/,#sfo #virginamerica #alaskaairlines #destinationsomewhere,neutral
CASEDAFACE,2017-07-06 17:59,0,0,"Coney Island from above! #coneyisland #nyc #virginamerica @New York, New York https://www. instagram.com/p/BWOJjahh9kj/",#coneyisland #nyc #virginamerica,neutral
epmalabanan,2017-07-06 16:37,0,0,"@janemarielynch sorry if i was rude to you and asked if you're Jane Lynch, but i'm glad you smiled at my kids on #virginamerica flight 156",#virginamerica,negative
PoochofNYC,2017-07-06 16:32,0,14,"""Does running late count as exercise ?"" #getoutofmyway #virginamerica #agadorable @virginamerica pic.twitter.com/G1VIdiVSJP â bei Newark AirTrain - Terminal A",#getoutofmyway #virginamerica #agadorable,neutral
stephanhorbelt,2017-07-06 14:31,0,0,OMG I have the #VirginAmerica airplane safety song stuck in my head. KILL ME.,#VirginAmerica,positive
thebluebeagle,2017-07-06 12:59,0,2,#tbt to that time our #keepcup got its own seat on a #redeye to NY . . . #nyc #virginamerica #freshcup #bluebeagle #coffee #coffeetime #not â¦ pic.twitter.com/hJLVtgRMRZ,#tbt #keepcup #redeye #nyc #virginamerica #freshcup #bluebeagle #coffee #coffeetime #not,positive
ChadJamesSpeaks,2017-07-06 12:48,0,1,"Richard Branson dishes on Virgin, space and the Obamas - ABC News - http:// abcn.ws/2tAoHtm #RichardBranson #VirginAmerica #VirginGalactic",#RichardBranson #VirginAmerica #VirginGalactic,neutral
ChadJamesSpeaks,2017-07-06 12:06,0,0,1000 Twitter Followers!! Thank You. Now do I get Unlimited #Upgrades on #VirginAmerica ? pic.twitter.com/Wf6VeFN6Ux,#Upgrades #VirginAmerica,positive
DustyStarks,2017-07-06 11:20,0,0,? Really @VirginAmerica you couldn't find a soap dispenser This is a shame! #virginamerica #dobetter pic.twitter.com/8HeRTw0o0D,#virginamerica #dobetter,neutral
claudiadolph,2017-07-05 20:30,0,2,Headed back to #LA . #VirginAmerica #JohnWick2 #Cheninblanc #losangeles #Dallas #TX #Texas â¦ https://www. instagram.com/p/BWL2CaWhNde/,#LA #VirginAmerica #JohnWick2 #Cheninblanc #losangeles #Dallas #TX #Texas,positive
jaxxmorgan,2017-07-05 16:57,0,0,"I tried... to pick a BETTER airline - why, why have you forsaken me #VirginAmerica ? WHY aren't you better than #United ? Lines to check bags?",#VirginAmerica #United,negative
4U6U57,2017-07-05 14:11,0,2,Big surprise when I found the #Android menu bar in my #VirginAmerica in-flight entertainment. Don't think I was supposed to see this... pic.twitter.com/hqENlmWfC1,#Android #VirginAmerica,positive
CllmartinMartin,2017-07-05 01:05,0,0,@VirginAmerica love your plane! The mood-lighting does it for me. #travel #virginAmerica pic.twitter.com/BUDwNHMZ28,#travel #virginAmerica,positive
HeadshotHotshot,2017-07-04 19:06,0,0,NEXT STOP MAUI!!! #4thofjuly #vacay #virginamerica #myboys #calmbeforethestorm @beaubyron â¦ https://www. instagram.com/p/BWJHo3ihLi0/,#4thofjuly #vacay #virginamerica #myboys #calmbeforethestorm,positive
perizieh,2017-07-04 15:01,0,1,@VirginAmerica flight to Cabo delayed from SFO-super unhelpful staff with no updates on time #virginamerica,#virginamerica,negative
DanDanicaDoll,2017-07-04 11:26,0,0,20 waiting for @VirginAmerica to staff their only #luggage dropoff #CustomerService #airlinefail #virginamerica #airportfail #alaskaairlines pic.twitter.com/aLZlX8EEmw,#luggage #CustomerService #airlinefail #virginamerica #airportfail #alaskaairlines,negative
DanDanicaDoll,2017-07-04 11:16,0,0,@VirginAmerica @AlaskaAir how do you have no one at bag drop? @9NEWS check out the service #virginamerica #airlinefail #alaskaairlines pic.twitter.com/yIc1jDCzNM,#virginamerica #airlinefail #alaskaairlines,negative
Channell5,2017-07-04 10:48,0,0,@VirginAmerica How can I add my boarding pass to iPhone Wallet? #virginamerica,#virginamerica,neutral
StMarxBk,2017-07-04 00:58,0,4,Racing planes on the way back from Vegas. Virgin 0620 vrs Jetblue 948 @JeffRothberg See you at the finish line sucka!! #VirginAmerica,#VirginAmerica,positive
MarieCharlton,2017-07-04 00:16,0,1,"#VirginAmerica VX 236 LAX-ORD best flight attendant ever Mallory turbulence, fireworks 7/3/17, cookies and compassion",#VirginAmerica,positive
shirini714,2017-07-03 20:04,0,1,I def was asked to dance & sing the @VirginAmerica safety video song w/a flight attendant. Life is complete! #virginamerica #fly #jetset,#virginamerica #fly #jetset,positive
JovisDePognon,2017-07-03 17:22,0,1,#virginamerica @VirginAmerica just DM'd me a flat out lie that my flight was delayed because of bad weather from lax to jfk,#virginamerica,neutral
krystalpino,2017-07-03 13:54,0,0,"#virginamerica - amazing staff, comfortable, spacious seating, and excellent customer service. Will DEFINITELY fly again!",#virginamerica,positive
ashstricklandd,2017-07-01 23:44,0,2,#mostwestcoast #virginamerica pic.twitter.com/AOPoPDaZ1g,#mostwestcoast #virginamerica,neutral
tamasbocsi,2017-07-01 20:05,0,0,Flew #virginamerica great experience ... too bad it's ending soon...and cool safety instructions #usa #lasvegas #boston #airline pic.twitter.com/gb1wy03YJL,#virginamerica #usa #lasvegas #boston #airline,positive
GlennMann1,2017-07-01 19:49,0,0,Three hour delay from @EWRairport to @flyLAXairport . Thank you #virginamerica for not updating flight status #awfulcustomerservice,#virginamerica #awfulcustomerservice,negative
tamram,2017-07-01 17:17,0,5,Broken baggage claim carousel spurs spontaneous human collaboration. #dca #virginamerica pic.twitter.com/bshMDb460q,#dca #virginamerica,negative
Back2BackPRIntl,2017-07-01 16:28,0,1,LA bound Travel woes #flightdelay #patience #VirginAmerica pic.twitter.com/tDQCGSXqyL,#flightdelay #patience #VirginAmerica,neutral
HeIsCountry,2017-07-01 14:08,0,0,I HATE U FUCKS WITH EVERYTHING I HAVE. NO RESPONSE. NOBODY CARES. #BRINGBACKUSAIR #UNITED #DELTA #SOUTHWEST #VIRGINAMERICA #HEATSTROKE https:// twitter.com/heiscountry/st atus/881211496558018560 â¦,#BRINGBACKUSAIR #UNITED #DELTA #SOUTHWEST #VIRGINAMERICA #HEATSTROKE,positive
pnwyogi,2017-07-01 13:47,0,0,Dreary day in LA... #virginamerica #iflyalaska #lax @LAX - Los Angeles International Airport https://www. instagram.com/p/BWA0v-hB37e/,#virginamerica #iflyalaska #lax,positive
seorsamchugh,2017-07-01 10:38,0,0,"Compass, point me east! #dc #vacation #virginamerica @San Francisco International Airport https://www. instagram.com/p/BWAfC9cBa4l/",#dc #vacation #virginamerica,positive
TanyaEldemire,2017-07-01 10:04,0,1,"Although my flight was delayed two hours, I always have a great experience on #virginamerica !â¦ https://www. instagram.com/p/BWAbNu7BVpR/",#virginamerica,positive
alanaaxley,2017-06-30 17:48,1,1,"Huge thank you to the kind woman checking in full service at the #VirginAmerica counter, I can't tell you how much you helped me!! #ty#ty#ty â bei Denver International Airport (DEN)",#VirginAmerica #ty #ty #ty,positive
VioletKanian,2017-06-30 17:33,0,1,A little shadow never hurt nobody. #FBF to #virginamerica #RedHot #shoot . #serene #fauxleather â¦ https://www. instagram.com/p/BV-puB_AnIk/,#FBF #virginamerica #RedHot #shoot #serene #fauxleather,neutral
debraboulanger,2017-06-30 13:01,0,0,Not loving my #virginamerica experience...knees to chin back row bumped by all who pass #nomovies ... exit rows $199 #nothanks #jetblue ILY!,#virginamerica #nomovies #nothanks #jetblue,positive
mweprin,2017-06-30 00:09,0,2,"Was Cheech and Chong on my #VirginAmerica flight? Oh, just a #TexasSweatShack ! Home Sweet Home! pic.twitter.com/htsLFlStHQ",#VirginAmerica #TexasSweatShack,positive
sarahteitler,2017-06-29 13:22,0,0,Still waiting #chase #sapphire #reserve to rectify error bet credit card and #virginAmerica #worst #customer #service #ever pls retweet pic.twitter.com/Hb4H7y2qY2,#chase #sapphire #reserve #virginAmerica #worst #customer #service #ever,negative
rands,2017-06-28 21:17,0,5,When did satellite internet on a plane get awesome? #virginamerica,#virginamerica,positive
lwsantiago,2017-06-28 12:49,0,0,A super fun 3 day with these lovely ladies! #virginamerica #iamalaska #sanfrancisco #sfo â¦ https://www. instagram.com/p/BV4_px1AwPg/,#virginamerica #iamalaska #sanfrancisco #sfo,positive
goalexa920,2017-06-28 11:32,0,0,I'm heartbroken to say that if you knew how #virginamerica call centers were being run you would be heartbroken also #devistated,#virginamerica #devistated,negative
TravelExplored,2017-06-28 05:00,0,1,Sharing my experience of #VirginAustralia and #VirginAmerica travelling from #Brisbane to #Seattle http://www. travelexplored.com/brisbane-seatt le/ â¦ pic.twitter.com/kCUKWNhXH3,#VirginAustralia #VirginAmerica #Brisbane #Seattle,positive
johnmcglone4,2017-06-28 01:30,0,0,New Jesus Preacher blogpost on godly sex #virginamerica #virgin #virginmedia http://www. jesuspreacher.com/blood-covenant -of-virgin-sex/ â¦ pic.twitter.com/NkNaybQjUZ,#virginamerica #virgin #virginmedia,neutral
YvonneLberger,2017-06-27 23:05,0,0,"Seriously, how awesome is this? . . . #airplane #flying #virginamerica #mountain #mountains â¦ https://www. instagram.com/p/BV3hbUDFX0d/",#airplane #flying #virginamerica #mountain #mountains,positive
RedFlagsLadies,2017-06-27 21:44,0,0,@VirginAmerica So I guess I jinxed our flight to #NY Back in #SF after plane broke!! #VirginAmerica #Fail #SFO Please send new plane! pic.twitter.com/R4iOtFPyT3,#NY #SF #VirginAmerica #Fail #SFO,negative
RedFlagsLadies,2017-06-27 16:53,0,0,So Fun!! Boarding my #VIrginAmerica flight back to NYC now!! #DontWantToLeave I #SF,#VIrginAmerica #DontWantToLeave #SF,neutral
RedFlagsLadies,2017-06-27 16:36,0,1,@VirginAmerica Had a great time marching with #VirginAmerica at #Pride #FlyWithPride pic.twitter.com/sWkhOZ4mIi,#VirginAmerica #Pride #FlyWithPride,positive
jgraylock,2017-06-27 16:20,0,0,#virgin #virginatlantic #virginamerica #pride #pridenyc #gaypride #newyork #newyorkcity #delta â¦ https://www. instagram.com/p/BV2zAQJB-n4/,#virgin #virginatlantic #virginamerica #pride #pridenyc #gaypride #newyork #newyorkcity #delta,positive
jgraylock,2017-06-27 16:17,0,0,#virgin #virginatlantic #virginamerica #pride #pridenyc #gaypride #newyork #newyorkcity https://www. instagram.com/p/BV2yt_xBOjB/,#virgin #virginatlantic #virginamerica #pride #pridenyc #gaypride #newyork #newyorkcity,positive
StickyPostIt,2017-06-27 15:23,0,0,Tfw you get your window seat & no one else sits nxt to you. #winning #virginamerica #TravelTuesday,#winning #virginamerica #TravelTuesday,negative
Treasuredg,2017-06-26 23:06,0,0,Great flight ! Got a bit of wisdom from Jack Welch and Oprah Winfrey on the LinkedIn channel on #VirginAmerica #Link â¦ https:// lnkd.in/gyA8n4A,#VirginAmerica #Link,neutral
Channell5,2017-06-26 18:27,0,0,"One more thing, is it cheaper to upgrade your seats online or at the counter the day of the flight?? #virginamerica",#virginamerica,negative
TattooQT76,2017-06-26 18:18,0,1,My love affair with @VirginAmerica may have ended. So angry with how you treated my mother (and me). I may cancel my #virginamerica Visa.,#virginamerica,positive
Channell5,2017-06-26 18:07,0,0,@VirginAmerica How much are baggage fees for domestic travel & what is the weight limit of 1 checked bag? #virginamerica,#virginamerica,neutral
nbrossard,2017-06-26 16:49,0,0,Can't help but feel like the quality and service has gone down with #virginamerica they should just kill the brand name,#virginamerica,positive
ianmsantos,2017-06-26 13:53,0,1,"No corny jokes, but Grace got LOTS of high fives this morning. #WorkWife #VirginAmerica #VXFLL â¦ https://www. instagram.com/p/BVz9XI7jCOQ/",#WorkWife #VirginAmerica #VXFLL,positive
nakedhollywood,2017-06-26 13:49,0,0,"@virgin #virginAmerica When a flight attendant says she's ""tired too"" (whining) when there's little Children and parents WAITING! #shameonu",#virginAmerica #shameonu,negative
nakedhollywood,2017-06-26 13:35,1,1,"@virgin #virginAmerica u used to be a great airline when @richardbranson ran it! Now delayed, cancelled flights & crap service! #shameonyou",#virginAmerica #shameonyou,negative
nakedhollywood,2017-06-26 13:32,0,0,@virgin #virginAmerica Flight 365 Boston to LAX since you can't give me an ETA and we're HOURS delayed I'm getting my bags and leaving!!!!,#virginAmerica,negative
nancymacintyre,2017-06-26 12:43,0,1,Chose #UnitedAirlines vs #virginamerica bc fare was 50% less. Now 2 hr delay and aircraft change. And center seat. Not sure I saved anything,#UnitedAirlines #virginamerica,negative
JGaldamesLA,2017-06-26 09:18,1,0,#virginamerica neglects to tell #LAX customers they must be there 2 hrs b4 flght Refused to let us on board,#virginamerica #LAX,negative
JGaldamesLA,2017-06-26 09:02,0,0,#virginamerica prepaid bag check in at #lax is chaos,#virginamerica #lax,positive
MusicHustleinc,2017-06-26 08:12,0,0,Thanks #VirginAmerica for misplacing my bag!!,#VirginAmerica,positive
annayuphoria,2017-06-26 01:29,0,4,The flight from SFO LAX today was Always a pleasure flying with @VirginAmerica #VirginAmerica #happytraveler pic.twitter.com/OSUb1gXpw6,#VirginAmerica #happytraveler,positive
mermaidrhea,2017-06-26 01:06,0,0,Pride weekend w the homies! #StraightButNotNarrow #SFpride #virginamerica #alaskaair pic.twitter.com/AeBCiwBVAY,#StraightButNotNarrow #SFpride #virginamerica #alaskaair,positive
